"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2015,6,24,TISH,-996.00,13.32,0.00,6.49
2015,6,25,TISH,28.46,13.24,0.00,7.13
2015,6,26,TISH,20.58,13.50,0.09,6.32
2015,6,27,TISH,29.20,15.13,0.48,7.55
2015,6,28,TISH,29.70,11.01,0.41,4.30
2015,6,29,TISH,23.34,26.13,1.34,5.91
2015,6,30,TISH,27.29,10.46,1.60,5.79
2015,7,1,TISH,-996.00,18.88,3.06,9.88
2015,7,2,TISH,19.13,18.19,0.00,9.56
2015,7,3,TISH,21.94,14.19,0.00,5.99
2015,7,4,TISH,25.56,18.28,0.00,5.49
2015,7,5,TISH,27.29,17.60,1.52,8.65
2015,7,6,TISH,14.16,16.94,2.26,10.48
2015,7,7,TISH,11.06,25.39,1.17,8.96
2015,7,8,TISH,9.19,18.05,0.00,6.55
2015,7,9,TISH,19.71,20.29,2.23,8.45
2015,7,10,TISH,27.97,15.37,2.12,8.74
2015,7,11,TISH,28.92,14.79,3.13,8.19
2015,7,12,TISH,27.46,14.24,1.31,7.41
2015,7,13,TISH,28.57,15.22,2.64,7.82
2015,7,14,TISH,28.75,13.69,0.33,6.26
2015,7,15,TISH,28.62,11.40,0.00,5.98
2015,7,16,TISH,29.06,13.85,0.56,7.19
2015,7,17,TISH,28.73,14.58,2.59,8.63
2015,7,18,TISH,28.01,14.24,4.21,8.35
2015,7,19,TISH,28.29,12.83,0.00,5.80
2015,7,20,TISH,27.46,12.74,0.00,6.09
2015,7,21,TISH,22.66,14.33,0.15,6.21
2015,7,22,TISH,22.93,16.47,0.90,7.34
2015,7,23,TISH,27.01,14.38,1.45,6.84
2015,7,24,TISH,27.63,12.33,0.00,5.54
2015,7,25,TISH,27.92,11.64,0.00,4.81
2015,7,26,TISH,27.66,12.45,0.00,4.89
2015,7,27,TISH,27.19,14.72,0.00,6.02
2015,7,28,TISH,27.42,16.64,0.00,7.12
2015,7,29,TISH,27.26,11.86,0.00,4.78
2015,7,30,TISH,26.99,21.70,1.03,4.33
2015,7,31,TISH,17.42,11.31,0.05,5.11
2015,8,1,TISH,22.69,12.43,0.18,4.64
2015,8,2,TISH,16.78,10.58,0.00,4.13
2015,8,3,TISH,16.98,10.10,0.00,4.08
2015,8,4,TISH,6.92,9.09,0.11,4.47
2015,8,5,TISH,26.07,17.24,0.00,7.70
2015,8,6,TISH,26.40,15.89,1.19,8.56
2015,8,7,TISH,26.55,14.60,2.20,7.39
2015,8,8,TISH,27.17,13.99,0.00,6.44
2015,8,9,TISH,26.91,13.87,1.35,6.56
2015,8,10,TISH,25.89,12.04,0.17,5.28
2015,8,11,TISH,24.46,14.49,4.13,8.82
2015,8,12,TISH,26.12,14.95,0.93,8.28
2015,8,13,TISH,26.40,11.23,1.10,6.11
2015,8,14,TISH,17.78,10.89,0.00,5.19
2015,8,15,TISH,26.12,10.77,1.20,5.39
2015,8,16,TISH,26.48,9.31,0.64,3.83
2015,8,17,TISH,23.34,10.87,0.33,4.93
2015,8,18,TISH,15.31,17.08,2.29,8.20
2015,8,19,TISH,10.01,21.65,0.36,10.47
2015,8,20,TISH,24.86,11.63,0.00,6.32
2015,8,21,TISH,19.13,18.25,4.01,9.63
2015,8,22,TISH,21.01,18.03,3.67,8.89
2015,8,23,TISH,20.68,21.54,1.01,8.13
2015,8,24,TISH,20.61,13.13,1.75,7.18
2015,8,25,TISH,-996.00,12.03,0.00,6.24
2015,8,26,TISH,22.72,10.49,0.00,4.18
2015,8,27,TISH,20.10,10.73,0.00,4.60
2015,8,28,TISH,17.70,16.85,1.46,7.79
2015,8,29,TISH,15.57,13.99,0.05,6.36
2015,8,30,TISH,20.05,14.35,0.00,4.99
2015,8,31,TISH,22.16,14.92,0.00,6.59
2015,9,1,TISH,23.24,15.17,0.00,6.39
2015,9,2,TISH,24.52,14.58,0.00,6.47
2015,9,3,TISH,23.32,15.22,0.00,5.94
2015,9,4,TISH,24.16,15.13,1.16,6.59
2015,9,5,TISH,20.86,14.16,1.74,6.25
2015,9,6,TISH,22.38,13.36,0.00,5.31
2015,9,7,TISH,23.02,13.40,0.00,6.40
2015,9,8,TISH,20.32,19.53,2.03,9.06
2015,9,9,TISH,14.43,12.58,0.75,5.95
2015,9,10,TISH,21.09,8.07,0.00,3.18
2015,9,11,TISH,21.28,24.36,0.01,9.50
2015,9,12,TISH,23.69,12.69,1.30,7.60
2015,9,13,TISH,22.02,18.95,0.03,8.99
2015,9,14,TISH,18.92,21.09,3.32,10.53
2015,9,15,TISH,20.72,19.15,2.28,8.99
2015,9,16,TISH,21.24,20.76,3.71,11.59
2015,9,17,TISH,22.12,19.91,5.67,10.94
2015,9,18,TISH,19.17,20.54,1.20,9.15
2015,9,19,TISH,13.36,15.06,0.02,6.96
2015,9,20,TISH,2.44,18.90,0.00,6.59
2015,9,21,TISH,20.80,11.19,2.32,5.49
2015,9,22,TISH,21.26,12.14,2.69,5.87
2015,9,23,TISH,19.83,12.68,0.64,5.44
2015,9,24,TISH,17.57,10.21,1.93,5.14
2015,9,25,TISH,20.45,10.48,1.89,4.55
2015,9,26,TISH,19.83,12.07,0.86,5.10
2015,9,27,TISH,20.67,9.37,0.26,4.52
2015,9,28,TISH,10.58,9.44,0.86,4.55
2015,9,29,TISH,18.63,15.62,1.23,6.01
2015,9,30,TISH,19.72,13.42,2.34,8.03
2015,10,1,TISH,6.15,14.78,0.37,7.20
2015,10,2,TISH,20.52,14.73,1.16,8.84
